addr       target                  size  result
0x800c3b60 fn_800C3B60               15  MATCH  <- fn_800C3B60__FP10dLineMng_c
0x800c3ba0 fn_800C3BA0               18  MATCH  <- fn_800C3BA0__FUs
0x800c3bf0 fn_800C3BF0                8  MATCH  <- fn_800C3BF0__FUs
0x800c3c10 calc_rotate_to_circle_rev__10dLineMng_cFUsb    27  MATCH  <- calc_rotate_to_circle_rev__10dLineMng_cFUsb
0x800c3c80 calc_rotate_to_circle_prev__10dLineMng_cFUsb    27  MATCH  <- calc_rotate_to_circle_prev__10dLineMng_cFUsb
0x800c3cf0 mov_to_rightupper__10dLineMng_cFUlRC7mVec2_cb   239  MATCH  <- mov_to_rightupper__10dLineMng_cFUlRC7mVec2_cb
0x800c40b0 mov_to_rightlower__10dLineMng_cFUlRC7mVec2_cb   207  MATCH  <- mov_to_rightlower__10dLineMng_cFUlRC7mVec2_cb
0x800c43f0 mov_to_leftupper__10dLineMng_cFUlRC7mVec2_cb   247  MATCH  <- mov_to_leftupper__10dLineMng_cFUlRC7mVec2_cb
0x800c47d0 mov_to_leftlower__10dLineMng_cFUlRC7mVec2_cb   243  MATCH  <- mov_to_leftlower__10dLineMng_cFUlRC7mVec2_cb
0x800c4ba0 mov_frm_rightupper__10dLineMng_cFRC7mVec2_cb    63  MATCH  <- mov_frm_rightupper__10dLineMng_cFRC7mVec2_cb
0x800c4ca0 mov_frm_leftlower__10dLineMng_cFRC7mVec2_cb    63  MATCH  <- mov_frm_leftlower__10dLineMng_cFRC7mVec2_cb
0x800c4da0 mov_frm_rightlower__10dLineMng_cFRC7mVec2_cb    63  MATCH  <- mov_frm_rightlower__10dLineMng_cFRC7mVec2_cb
0x800c4ea0 mov_frm_leftupper__10dLineMng_cFRC7mVec2_cb    63  MATCH  <- mov_frm_leftupper__10dLineMng_cFRC7mVec2_cb
0x800c4fa0 move_on_circle_speedset__10dLineMng_cFff    75  MATCH  <- move_on_circle_speedset__10dLineMng_cFff
0x800c50d0 move_on_circle1__10dLineMng_cFff    72  MATCH  <- move_on_circle1__10dLineMng_cFff
0x800c51f0 move_on_circle2__10dLineMng_cFff    79  MATCH  <- move_on_circle2__10dLineMng_cFff
0x800c5330 move_on_circle3__10dLineMng_cFff    74  MATCH  <- move_on_circle3__10dLineMng_cFff
0x800c5460 move_on_circle4__10dLineMng_cFff    77  MATCH  <- move_on_circle4__10dLineMng_cFff
0x800c55a0 initializeState_Idle__10dLineMng_cFv     1  MATCH  <- initializeState_Idle__10dLineMng_cFv
0x800c55b0 finalizeState_Idle__10dLineMng_cFv     1  MATCH  <- finalizeState_Idle__10dLineMng_cFv
0x800c55c0 executeState_Idle__10dLineMng_cFv     1  MATCH  <- executeState_Idle__10dLineMng_cFv
0x800c55d0 initializeState_FallDown__10dLineMng_cFv     1  MATCH  <- initializeState_FallDown__10dLineMng_cFv
0x800c55e0 finalizeState_FallDown__10dLineMng_cFv     1  MATCH  <- finalizeState_FallDown__10dLineMng_cFv
0x800c55f0 executeState_FallDown__10dLineMng_cFv    16  MATCH  <- executeState_FallDown__10dLineMng_cFv
0x800c5630 initializeState_Left45__10dLineMng_cFv    22  MATCH  <- initializeState_Left45__10dLineMng_cFv
0x800c5690 finalizeState_Left45__10dLineMng_cFv     1  MATCH  <- finalizeState_Left45__10dLineMng_cFv
0x800c56a0 executeState_Left45__10dLineMng_cFv    60  MATCH  <- executeState_Left45__10dLineMng_cFv
0x800c5790 initializeState_Right45__10dLineMng_cFv    20  MATCH  <- initializeState_Right45__10dLineMng_cFv
0x800c57e0 finalizeState_Right45__10dLineMng_cFv     1  MATCH  <- finalizeState_Right45__10dLineMng_cFv
0x800c57f0 executeState_Right45__10dLineMng_cFv    60  MATCH  <- executeState_Right45__10dLineMng_cFv
0x800c58e0 initializeState_Side__10dLineMng_cFv    18  MATCH  <- initializeState_Side__10dLineMng_cFv
0x800c5930 finalizeState_Side__10dLineMng_cFv     1  MATCH  <- finalizeState_Side__10dLineMng_cFv
0x800c5940 executeState_Side__10dLineMng_cFv    51  MATCH  <- executeState_Side__10dLineMng_cFv
0x800c5a10 initializeState_Height__10dLineMng_cFv    17  MATCH  <- initializeState_Height__10dLineMng_cFv
